artist,artist_id
Real Estate,41SQP16hv1TioVYqdckmxT
Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5
Remy Zero,2pZCKLhbrrDD4PwEzrDig3
Reverend Horton Heat,4byZW0sEv5RUoyQBfv7CPw
Rexy,1dltH13STs72NOVycFeamM
Richard Stoltzman/Slovak Radio Symphony Orchestra,
Riddarna,4GjUPOhTJnoDyaWOKm9QuW
Rise Against,6Wr3hh341P84m3EI8qdn9O
Rites of Spring,1FIzwiROYEiAdCClC6Kvly
Rod Stewart,2y8Jo9CKhJvtfeKOsYzRdT
Rozwell Kid,3g43Z25cVRJHFn8ph8cdO0
Rush,2Hkut4rAAyrQxRdof7FVJq
RushJet1,2SWZCzMaY9qey6aaWfiqkF
Rx Bandits,47bGK00zHXcGlUWfrE0dvi
Ryuei Kotoge,2MktZSZPwIgkPcBa8ZZRzH
SAINT PEPSI,3b014NFgLGBMV2q0sGyFQM
SLIME GIRLS,16iBr8TYdeNxgwmuS6v3bL
SYNCHRONICITY,71G000xDLjgdgalKSzLLK0
Sambomaster,5ydDSP9qSxEOlHWnpbblFB
Savage Garden,3NRFinRTEqUCfaTTZmk8ek
Say Anything,3ImqpXKKgkH5VydfgX1hd4
Scala,7JdPe4gzrYmbcko3FTav57
Scattle,31tVXduq7FmEznjanEBQJA
Screaming Females,3pZ666b6CyO1KGpVYirY0t
Sean Evans,0UXTzQmNSF4wvhu8aLrd2R
Seiji Honda,
Senpai,038IsvSAMc7bYGfp5vxHxw
Shadrew,0tmOJPmQlO7IzpL0gPGmMM
Shady Nasty,5fEdUhbIAf9JlPhlc3swPx
Shag,0SJxTOELZJa2Cf19TjNEfm
Shaimus,7Lqoxwx5Jfigj3xUHMDQ8x
Shing02,0FB6beTn4vescDdnHeCUm9
Shinko Ogata,
Shoji Meguro,6ssIZE2zSXsIOTs1mh8ePq
Sigur Rós,6UUrUCIZtQeOf8tC0WuzRy
Silversun Pickups,6qyi8X6MdP1lu6B1K6yh3h
Sinai Vessel,5xNgzkAJDvyuU84bkv2e2V
Sjellos,204EQ77ZmGABN9gjYWsd2J
Skybox,7CMd7ViWMS0KxVCZdN3iDN
Sleepercar,
